gmap_id,category,avg_rating,num_of_reviews
0x809ad993cd15cc69:0x38291ec9a11f59ed,['Massage therapist'],4.2,56
0x809adee9ac6f1bd7:0xe2e56d16919b9b8d,['Massage therapist'],3.6,15
0x809ad7b6234f1ff9:0xe5622114044a3a90,['Door supplier'],4.0,4
0x809b2063472fb85b:0x7d6aad89aefc4aea,['Church'],5.0,8
0x8084d0c62e26baa9:0x8829fbf306ee0c41,['Church'],4.7,17
0x809ad965d1d35db7:0xcf8b3ebe7becc5fa,['Employment agency'],3.2,13
0x809add6b2d273da5:0x4610dea4cb4aa5df,"['Billiards supply store', 'Dart supply store', 'Furniture store', 'Game store', 'Sporting goods store']",4.1,18
0x809ad1d38e2dd6f7:0xe4732d7623f7121c,['Motor vehicle dealer'],5.0,6
0x809ad4111dd01501:0xf8adf3a057108e2a,"['Towing service', 'Auto wrecker', 'Automobile storage facility']",3.3,6
0x809ac5aa35e8604f:0x971ac2663dd1a3d,['Car wash'],5.0,1
0x809abdb2b9f3a021:0x3d5f97c6e37d0965,"['Garbage collection service', 'Debris removal service', 'Waste management service']",5.0,46
0x809ad73dbbfe5ef1:0x45f57e4e50d4c232,['Barber shop'],4.0,28
0x809ad0d1889604f9:0x76f7ce717427babc,"['Tile store', 'Antique store']",4.9,8
0x809ad68a4b531825:0x635fa3c8560daf3c,['Massage therapist'],3.7,18
0x809adbeb7a97a489:0x36ea91b3e64da623,['Massage therapist'],4.7,17
0x809ad993cbfd3b07:0x8957c68b56e2d414,"['Massage spa', 'Massage therapist']",3.7,17
0x809ad7721baae99d:0xc482ee341fe673ae,"['Computer consultant', 'Computer repair service', 'Website designer']",2.3,3
0x809ad7459ef81893:0xedabcb2f9a9ffbbf,['Fitness center'],4.4,25
0x809ad189f7da181d:0x537b40584215c3e1,['Comic book store'],5.0,2
0x809adb8067664215:0xfa0584596ad69a2f,['Park'],4.4,15
0x809ad1c1b22aa955:0xc050cb6092f1f92b,['Mortgage lender'],5.0,148
0x809ad6ed723b99d9:0x5a020e916d8d0ade,['Insurance agency'],4.4,14
0x809ad1f8e6c7cb27:0x8d317d9121d3ec92,['High school'],3.9,28
0x809ade1cffbf622d:0x128b50049b1fd6ee,"['Business center', 'Dentist']",5.0,1
0x809adcbe7d48ed7d:0x6f9b717013a79c15,['Beauty salon'],4.1,16
0x809adcb7344eb297:0xac0f88c8900a3903,"['Gas station', 'Auto repair shop', 'Convenience store', 'Diesel fuel supplier', 'Fuel pump', 'Gas company']",3.1,14
0x809ada5b3f8a76d5:0xb342fb5ac8aee594,['Doctor'],2.6,8
0x809ae7252e1dbe67:0xa855ebad97cc4e3f,['Church'],5.0,27
0x809ae410bb4b79db:0x8e53e91c4a62cfcd,['Restaurant'],4.2,16
0x809adaf5b700d787:0xa5c084d1d9215917,['Trial attorney'],5.0,3
0x809ae68e8b3585d1:0xe958510262e4a0af,['Real estate agency'],4.2,8
0x809ad12bc91cba1b:0x975c7d47643ef580,['Personal injury attorney'],4.3,68
0x809ac79398b92c1b:0x21fcbb3af744a93b,['Barber shop'],4.5,68
0x809ac5ed80765f9d:0xcbcfe7dbc6dcb6b8,"['Warehouse', 'Car wash']",4.3,6
0x80852bc75dbc659d:0x9fba809d832c62c0,['Apartment complex'],4.3,17
0x809ad914be6c5e8f:0xfad2f7d8e2757a7f,"['Social services organization', 'Mental health service', 'Non-profit organization']",3.9,25
0x809abb6d6d1209ff:0xb66f1d6dde35da2,['Tourist attraction'],4.5,2
0x8084d8fc52f44937:0x451d3fd9a5636a91,['Ranch'],5.0,1
0x809ad1c06c05f1d1:0xe896dbdf73769ab9,['Church'],4.9,14
0x809adb448f2c73a7:0x5289a6e6cba08aca,['Festival'],1.4,56
0x809ac56fbc38ec8f:0x12cc07cc23cfa59f,['Real estate'],5.0,1
0x809ad96d48b747a5:0x76dcdab000f2b3d1,"['Car dealer', 'Auto broker', 'Used motorcycle dealer', 'Used truck dealer']",4.3,38
0x809ac76ef512905b:0xdd97f6e6a33f85bf,"['Auto repair shop', 'Auto air conditioning service', 'Auto radiator repair service', 'Brake shop', 'Car battery store', 'Car repair and maintenance', 'Oil change service', 'Tire shop', 'Transmission shop', 'Truck repair shop']",3.4,8
0x809ad0fcb2b6d00f:0x240f88a69bf31711,['Coworking space'],4.2,8
0x809ada56b34eb8db:0x5e616e3c576edb84,"['Apartment complex', 'Apartment building', 'Apartment rental agency']",3.9,18
0x809add8435959b63:0xa56815b09627105a,"['Ice cream shop', 'Dessert shop', 'Frozen dessert supplier', 'Fruit parlor', 'Juice shop']",4.3,17
0x809ad3df6746f62f:0x65776f267ea7046,['Gym'],2.3,28
0x809ae4876b50fefb:0x79b73efb9af4710f,"['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Dental hygienist', 'Dental implants periodontist', 'Dental implants provider', 'Emergency dental service', 'Teeth whitening service']",4.3,14
0x809ae58e5b6f8889:0x997c522d3d5cf906,['Restaurant'],3.7,8
0x809ae6aa4ea4e0fd:0x8c2fe55027b1fa69,['Cemetery'],5.0,6
