,name,gmap_id,category,avg_rating,num_of_reviews
28,China House,0x809ae410bb4b79db:0x8e53e91c4a62cfcd,restaurant,4.2,16
48,Kiki's Chicken Place,0x809ae58e5b6f8889:0x997c522d3d5cf906,restaurant,3.7,8
81,Carl's Jr.,0x80852990182f7d55:0xe7374fc8442789f1,restaurant,3.0,7
99,Carlton Club,0x8084d0e5f234f735:0x782262f8c6962382,restaurant,4.3,8
105,Costco Food Court,0x8084d155d59bbe79:0xea9392e201d6ec6f,restaurant,3.8,8
146,China House,0x809ae410bb4b79db:0x8e53e91c4a62cfcd,restaurant,4.2,16
166,Kiki's Chicken Place,0x809ae58e5b6f8889:0x997c522d3d5cf906,restaurant,3.7,8
199,Carl's Jr.,0x80852990182f7d55:0xe7374fc8442789f1,restaurant,3.0,7
217,Carlton Club,0x8084d0e5f234f735:0x782262f8c6962382,restaurant,4.3,8
223,Costco Food Court,0x8084d155d59bbe79:0xea9392e201d6ec6f,restaurant,3.8,8
238,Cinnabon,0x809ade2407727363:0x6cb49bc8ac7e5da0,restaurant,2.8,8
243,True North Pizza,0x809ad74f05c789b5:0xc27923eb8a9669b9,restaurant,4.9,18
252,Vampire Penguin,0x80852973bd7fdb17:0x37c0de1ef7e95670,restaurant,5.0,3
301,Crepe Escape,0x809ad054b82da3b7:0xc0df4b61d7cc8d00,restaurant,4.0,1
302,Tapioca Express,0x809ad1ca09efc1b1:0xfd96a292930a92b1,restaurant,4.0,2
325,Solomon's Delicatessen,0x80852901bfddd01f:0xef5c33acec5ec309,restaurant,4.0,38
331,East Bay Restaurant Supply,0x809ad72dfe7cf981:0xce226a3288e467e8,restaurant,3.8,9
334,Shop & Save Smoke Shop,0x809ad758b410f11b:0x6a6aef4b5f1a3337,restaurant,3.7,28
344,Café Le Monde,0x809ada652009e4e1:0xdb82e2d8645add70,restaurant,4.2,18
345,The Green Boheme,0x809ad75b00bbbbe1:0x4c9480c26ecd3cd8,restaurant,4.6,13
360,The Organic Coup,0x80852973bc466539:0x3550cb8cb9ed4fcf,restaurant,3.8,4
369,Kp Korean Market & Karoake,0x809add6ceed2c42d:0x216464bac4aedd5f,restaurant,4.0,2
377,Selland's Market Café,0x809ad12c5086be97:0xa24afbdc1ec7ac42,restaurant,4.3,6
384,Dutch Bros Coffee,0x809ad7381afd6843:0xceaecec727b67574,restaurant,4.4,98
405,CITYPIZZA,0x809add83d139db0f:0x5949292ed83aba25,restaurant,5.0,2
422,Rempfer Cellars,0x809ae6acf4cdf7ad:0x33dc01215e2d7017,restaurant,5.0,2
455,Joshua Pup's Inc,0x809ada54e97b5d69:0x6b249d88c692a7f6,restaurant,4.3,11
466,Cafe Aulait,0x809ad0e7f5d1facd:0xcafac9c58c93eacf,restaurant,3.7,3
468,Icing on the Cupcake,0x809ad094f4099d43:0x7032e2500fa35c34,restaurant,4.8,5
469,Sugar & Spice Specialty Desserts,0x809ad0d5a9947c6f:0x2c81772ccd7d8c67,restaurant,4.0,1
484,Woody's Grill & Bar,0x809adbc4a789bf97:0x8dfeddac76ebbdb6,restaurant,4.1,38
489,Peet's Coffee & Tea,0x809ae48734ff7699:0xd659d22c40bd7e66,restaurant,4.3,8
509,Bakers Delight,0x809aded39dc5f319:0x5c8004ab48848ada,restaurant,4.7,27
550,Vinny's Pizza,0x809ad973158b44ad:0xf7523ebf28b87eb,restaurant,4.0,28
553,Moonlight Indian Restaurant,0x809ac645d5622a3d:0xe25d578f4047e0de,restaurant,2.0,1
584,Something Sweet,0x809aa2d70b69dc5f:0xe759d62bb1626c6,restaurant,4.6,26
620,Subway,0x809ad1c95e4cda1f:0xd7e87408ad918e93,restaurant,2.1,8
625,GotPlateLunch- Rancho Cordova,0x809add888a16b731:0xb8af9a032ccc6d0f,restaurant,4.3,8
641,Mariscos Los Caracoles,0x809ac556b7085739:0x55f40ca99d4b441c,restaurant,4.5,28
692,Holy Slice,0x809ad1e16113f8e3:0xcb085e4bc9b71079,restaurant,4.8,28
694,Sushi Davis,0x808529737f759dfb:0xf0f023648d0d267c,restaurant,3.9,14
698,Lollicup,0x809ac675f8abf103:0x3f543b0ce4c299cf,restaurant,3.6,8
706,Starbucks,0x809ae500c47afac1:0x5a16e0cd4dde6726,restaurant,4.2,18
735,Streets of London Pub,0x809ae41b1bbfb937:0x9d59685d00773820,restaurant,3.3,3
741,The Dragon House,0x809ad12635a45fbd:0x1f518a33c2ba352,restaurant,4.2,33
756,Starbucks,0x809adff7a1b86261:0x41ef7f9082c6d742,restaurant,4.2,8
757,Zócalo Folsom,0x809ae5ed1ea1bc8f:0x35c161be0abe76bd,restaurant,4.0,256
792,Valley Oak Ballroom,0x809ac6468d3e933b:0x592f66a1941f2121,restaurant,5.0,2
813,Poor Boys,0x809ad7ca90362eeb:0x224e25cc9e7bca28,restaurant,4.5,24
824,Nash & Proper,0x809ac91bf5f7316b:0x228020f8dd38d812,restaurant,3.6,28
841,Water’z Wing’z,0x809acf8904bc11e7:0x34cfec8cd7dcce8e,restaurant,4.0,28
