,name,gmap_id,category,avg_rating,num_of_reviews
0,Aurora Massage,0x809ad993cd15cc69:0x38291ec9a11f59ed,beauty,4.2,56
1,Orient Massage,0x809adee9ac6f1bd7:0xe2e56d16919b9b8d,beauty,3.6,15
6,Valley Gaming & Billiards Home,0x809add6b2d273da5:0x4610dea4cb4aa5df,retail,4.1,18
8,Dan's Mission Towing,0x809ad4111dd01501:0xf8adf3a057108e2a,auto,3.3,6
11,Caballo Bronco Barber Styling,0x809ad73dbbfe5ef1:0x45f57e4e50d4c232,beauty,4.0,28
13,Melting Point Massage & Spa,0x809ad68a4b531825:0x635fa3c8560daf3c,beauty,3.7,18
14,ANKANG Massage & Reflexology,0x809adbeb7a97a489:0x36ea91b3e64da623,beauty,4.7,17
15,Sweetness spa,0x809ad993cbfd3b07:0x8957c68b56e2d414,beauty,3.7,17
17,Ferreira's Health & Fitness,0x809ad7459ef81893:0xedabcb2f9a9ffbbf,recreation,4.4,25
19,Howe Park Duck and Fishing Pond,0x809adb8067664215:0xfa0584596ad69a2f,recreation,4.4,15
22,John F Kennedy High School,0x809ad1f8e6c7cb27:0x8d317d9121d3ec92,education,3.9,28
24,Hair Story,0x809adcbe7d48ed7d:0x6f9b717013a79c15,beauty,4.1,16
25,Chevron,0x809adcb7344eb297:0xac0f88c8900a3903,auto,3.1,14
26,AllMed Medical Center,0x809ada5b3f8a76d5:0xb342fb5ac8aee594,health,2.6,8
28,China House,0x809ae410bb4b79db:0x8e53e91c4a62cfcd,restaurant,4.2,16
32,Images II Barber Shop,0x809ac79398b92c1b:0x21fcbb3af744a93b,beauty,4.5,68
35,Children's Receiving Home of Sacramento,0x809ad914be6c5e8f:0xfad2f7d8e2757a7f,health,3.9,25
36,Observation Deck in Cosumnes River Preserve,0x809abb6d6d1209ff:0xb66f1d6dde35da2,recreation,4.5,2
37,Bruss Ranch & CalOak Oberhasli Dairy Goats; Breed Leaders Top Ten Does,0x8084d8fc52f44937:0x451d3fd9a5636a91,recreation,5.0,1
41,Petrol Auto Sales,0x809ad96d48b747a5:0x76dcdab000f2b3d1,auto,4.3,38
42,Nissan Elk Grove Service Center,0x809ac76ef512905b:0xdd97f6e6a33f85bf,auto,3.4,8
46,Anytime Fitness,0x809ad3df6746f62f:0x65776f267ea7046,recreation,2.3,28
47,Empire Parkway Dental Group,0x809ae4876b50fefb:0x79b73efb9af4710f,health,4.3,14
48,Kiki's Chicken Place,0x809ae58e5b6f8889:0x997c522d3d5cf906,restaurant,3.7,8
51,Apricot Lane Boutique,0x809ae50606f444f5:0xc4569619330fcda4,retail,4.4,18
52,La Coupe Maison Salon,0x809ae6aa2aebafbb:0xc38f6e8b29090060,beauty,4.7,8
54,Intel Folsom Pond,0x809ae5778647cf31:0x2439f86b3797ead3,recreation,5.0,2
55,Sacramento Community Clinic - Dental,0x809ac52e60ab97ad:0x457fe5f368761bb2,health,3.5,4
56,Gasca Auto Glass,0x809acf9537d441ff:0x6fe701e4fdd3999,auto,4.2,13
59,Creekside Signs,0x8084df6e18699dd7:0x156c5d58dfdf1f0,retail,4.5,4
62,JRM Ranch,0x80852bf165465689:0x62dc5e8d148d1307,recreation,4.5,6
63,California Check Cashing Stores,0x8084d0ee04199049:0xeb4aca1c55b64090,retail,3.2,13
65,Leslie's,0x808529cac9ef7013:0xc05cdddb4fde7a62,recreation,3.8,18
66,BROS LIQUOR,0x808529726ba1ada7:0x9fd2787ac2016035,grocery,5.0,5
68,City Haircuts,0x809ade3065342aa3:0x6240f02a3a7e9d3d,beauty,4.9,33
75,UC Davis: Sciences Lecture Hall,0x80852905d81778a1:0xeacfc09c80ee34a8,education,4.5,4
76,Sciences Lab Building,0x80852905e68be3b7:0x62c6ae9ff73adef3,education,4.5,2
77,Wellman Hall,0x80852908d0f6cfdd:0xce294662bb65b16,education,4.0,6
78,UC Davis Earth And Physical Sciences Bldg,0x808529103835af4f:0xd954092cde7bd1c,education,5.0,1
79,Mathematical Sciences Building,0x8085290fe1af8f55:0xf4e9a18674415091,education,4.4,5
81,Carl's Jr.,0x80852990182f7d55:0xe7374fc8442789f1,restaurant,3.0,7
84,ASUCD Experimental College,0x8085290f77055555:0x937f3622325eb37f,education,4.5,2
85,Sproul Hall,0x8085290c346ab205:0x659f431d15737e7a,education,4.5,2
89,Violet Massage Therapy,0x809ad090c0b9b401:0x4300d2c94496ed7a,beauty,4.3,51
